title,totalScore,reviewsCount,street,city,state,countryCode,website,phone,categoryName,url,Column
Amandine,3.9,1408.0,G476+RX4,Niamey,,NE,https://www.facebook.com/restoamandine?mibextid=kFxxJD,+227 90 19 49 08,Restaurant,https://www.google.com/maps/search/?api=1&query=Amandine&query_place_id=ChIJV1ARW3N10BER6J0kOxlHusY,
Bab Salam Maurice Delens,3.9,1351.0,G3MW+WR4,Niamey,,NE,,+227 91 95 47 48,Restauration rapide,https://www.google.com/maps/search/?api=1&query=Bab%20Salam%20Maurice%20Delens&query_place_id=ChIJ9fnm9Id10BERPChpiuTGaK0,
Rawda,3.8,883.0,"G4H4+8R9, Bd du Zarmaganda",Niamey,,NE,,+227 88 66 80 20,Restaurant,https://www.google.com/maps/search/?api=1&query=Rawda&query_place_id=ChIJm1c7Do910BERneub3Z3U5JQ,
Le Moulin Restaurant Boulangerie Pâtisserie Alimentation,4.0,580.0,"H325+Q44, RN1",Niamey,,NE,,+227 82 94 94 75,Restaurant,https://www.google.com/maps/search/?api=1&query=Le%20Moulin%20Restaurant%20Boulangerie%20P%C3%A2tisserie%20Alimentation&query_place_id=ChIJMy68jG6d2hERVsNHqLy40x8,
RESTAURANT LE PILIER,4.2,559.0,rue de la tapoa,Niamey,,NE,,+227 77 83 82 82,Restaurant italien,https://www.google.com/maps/search/?api=1&query=RESTAURANT%20LE%20PILIER&query_place_id=ChIJKWbc5lZ10BERbeLjihFcT74,
Côté Jardin,4.3,557.0,G492+XRX,Niamey,,NE,http://www.cote-jardin-niamey.com/,+227 91 55 38 90,Restaurant,https://www.google.com/maps/search/?api=1&query=C%C3%B4t%C3%A9%20Jardin&query_place_id=ChIJIyZIYZx10BERMj8Q33zGyCU,
TABAKADY,4.1,505.0,Derriere stade seyni kountche,Niamey,,NE,,+227 90 90 65 44,Restaurant,https://www.google.com/maps/search/?api=1&query=TABAKADY&query_place_id=ChIJi-9H73t10BERSoenLFPhCoU,
New York Restaurant & Bar,4.6,488.0,Boulevard de la Republique,Niamey,,NE,https://www.radissonhotels.com/en-us/hotels/radisson-blu-conference-niamey,+227 23 23 11 11,Restaurant,https://www.google.com/maps/search/?api=1&query=New%20York%20Restaurant%20%26%20Bar&query_place_id=ChIJY3w2TGp10BERuLczkwbnN9U,
Restaurant Al-Mina,4.9,443.0,Boulevard de la Republique,Niamey,,NE,https://www.radissonhotels.com/en-us/hotels/radisson-blu-conference-niamey,+227 23 23 11 11,Restaurant,https://www.google.com/maps/search/?api=1&query=Restaurant%20Al-Mina&query_place_id=ChIJlxzVsNx10BERPmxYSaqj9Lk,
Boulangerie Rayan,3.9,380.0,Bd du Zarmaganda,Niamey,,NE,,+227 94 53 21 86,Boulangerie,https://www.google.com/maps/search/?api=1&query=Boulangerie%20Rayan&query_place_id=ChIJJ-huqLaf2hERLVJ469foFBo,
Cap Banga,4.0,355.0,"Route du barrage de Goudel, - BP11816",Niamey,,NE,http://www.facebook.com/capbanga,+227 80 09 11 11,Restaurant,https://www.google.com/maps/search/?api=1&query=Cap%20Banga&query_place_id=ChIJf4M-r-V10BERo5ZMp7bQOG0,
Cercle Mess des Officiers,3.7,298.0,F4VC+PHP,Niamey,,NE,,,Restaurant,https://www.google.com/maps/search/?api=1&query=Cercle%20Mess%20des%20Officiers&query_place_id=ChIJA45OSxl10BER6vtp0fssLUc,
Restaurant Dragon D'or Niamey,3.9,279.0,,Niamey,,NE,,+227 90 00 14 37,Restaurant,https://www.google.com/maps/search/?api=1&query=Restaurant%20Dragon%20D'or%20Niamey&query_place_id=ChIJxyyGJgx10BER4TmVUC7DDA8,
Palais de chawarma,3.6,253.0,"G3MR+R3M, Blvd Mali Bero",Niamey,,NE,,+227 90 17 61 61,Restaurant diététique,https://www.google.com/maps/search/?api=1&query=Palais%20de%20chawarma&query_place_id=ChIJR8rZCwR10BER1yZfyJAFm2k,
Parc de l'amitié Nigero Turque,4.2,229.0,rond-point TALWA,Niamey,,NE,,+227 90 24 93 93,Parc de loisirs,https://www.google.com/maps/search/?api=1&query=Parc%20de%20l'amiti%C3%A9%20Nigero%20Turque&query_place_id=ChIJNQK-sXAL0BERDe8dLAyHKNM,
hotel les collines,3.6,204.0,"F3X4+HM9, Bd du Gourma",Niamey,,NE,,+227 96 97 35 64,Restaurant,https://www.google.com/maps/search/?api=1&query=hotel%20les%20collines&query_place_id=ChIJc5_-yHp20BERWLuOz3haGRI,
Hôtel Restaurant Maquis 2000,3.6,190.0,G469+HM7,Niamey,,NE,,+227 20 73 55 56,Restaurant,https://www.google.com/maps/search/?api=1&query=H%C3%B4tel%20Restaurant%20Maquis%202000&query_place_id=ChIJxVO9ThN10BERG4LQW0R_5Mk,
Hôtel ALIYA,4.0,187.0,F3X3+HQ2,,,NE,,+227 96 07 99 96,Hôtel,https://www.google.com/maps/search/?api=1&query=H%C3%B4tel%20ALIYA&query_place_id=ChIJBU4RrpR30BERqt_oO_9o9j0,
PIZZA CLUB FONDAKAYAN,4.1,177.0,G3FW+VWX,Niamey,,NE,,+227 96 63 36 41,Restaurant,https://www.google.com/maps/search/?api=1&query=PIZZA%20CLUB%20FONDAKAYAN&query_place_id=ChIJ9Rr_O4V10BERlPIMZVXBCOk,
Belissimo,3.9,177.0,G486+9WJ,Niamey,,NE,,+227 90 19 49 23,Restaurant,https://www.google.com/maps/search/?api=1&query=Belissimo&query_place_id=ChIJ5QSVuHN10BERWzpcWacSX6k,
Restaurant 3 Epices,3.7,174.0,G4M3+H34,Niamey,,NE,,+227 94 27 64 02,Restaurant,https://www.google.com/maps/search/?api=1&query=Restaurant%203%20Epices&query_place_id=ChIJlwUcjoB10BERsocE5JuScAU,
Le Watta,3.7,173.0,Unnamed Road,Niamey,,NE,https://www.facebook.com/Hotel-Restaurant-LE-Watta-361078950592310/,+227 96 98 29 55,Restaurant,https://www.google.com/maps/search/?api=1&query=Le%20Watta&query_place_id=ChIJ-fq3yaN10BERFfSwYwxkpTM,
Aladdin's resto libanais,3.8,169.0,,Niamey,,NE,,+227 80 80 80 15,Restaurant,https://www.google.com/maps/search/?api=1&query=Aladdin's%20resto%20libanais&query_place_id=ChIJI-O3yId10BER2btrVtSBadw,
Zaxi Restaurant,4.7,167.0,Boulevard de la Republique,Niamey,,NE,https://www.radissonhotels.com/en-us/hotels/radisson-blu-conference-niamey,+227 23 23 11 11,Restaurant,https://www.google.com/maps/search/?api=1&query=Zaxi%20Restaurant&query_place_id=ChIJlQBWA1p10BER3gECCv-5y7g,
CNAV,3.6,160.0,G4C4+6WJ,Niamey,,NE,,+227 92 61 82 00,Restaurant africain,https://www.google.com/maps/search/?api=1&query=CNAV&query_place_id=ChIJj-zCSnZ10BERg9WiKlPJ-vc,
Restaurant Le Baobab,3.6,144.0,G487+CFJ,Niamey,,NE,,+227 96 50 77 11,Restaurant,https://www.google.com/maps/search/?api=1&query=Restaurant%20Le%20Baobab&query_place_id=ChIJi6a2N3J10BERiK0hJiT8_RM,
Complexe GMK,3.8,141.0,,Niamey,,NE,,+227 90 36 26 00,Restaurant,https://www.google.com/maps/search/?api=1&query=Complexe%20GMK&query_place_id=ChIJV1tGdEV10BER-KyMIp4OLE0,
Restaurant Alhamdoulillah,3.7,113.0,H32W+7RJ Bobiel,Niamey,,NE,,,Restaurant,https://www.google.com/maps/search/?api=1&query=Restaurant%20Alhamdoulillah&query_place_id=ChIJzWgIlTCe2hER5hYG1-p-X7A,
Le Toulousain,3.3,109.0,"G3JW+VV3, Av. de Djermakoye",Niamey,,NE,,,Restaurant,https://www.google.com/maps/search/?api=1&query=Le%20Toulousain&query_place_id=ChIJhfcGv4d10BER808tuOdvJuU,
Eden’s Parc & Lounge,4.2,86.0,,Niamey,,NE,,+227 99 59 65 63,Restaurant,https://www.google.com/maps/search/?api=1&query=Eden%E2%80%99s%20Parc%20%26%20Lounge&query_place_id=ChIJu1TD9Lp30BERKnSSPBh2AAk,
Boulangerie - Patisserie -Restaurant Youssoura,4.0,81.0,,Niamey,,NE,,+227 81 27 27 29,Restaurant,https://www.google.com/maps/search/?api=1&query=Boulangerie%20-%20Patisserie%20-Restaurant%20Youssoura&query_place_id=ChIJ-wW63_gL0BER20is-xvXe-8,
WAJABATT FOOD,3.8,75.0,"Pharmacie Centre aéré BCEAO, Boulevard Tanimoune Face",Niamey,,NE,https://www.facebook.com/profile.php?id=100089311178209&mibextid=kFxxJD,+227 96 30 12 12,Restauration rapide,https://www.google.com/maps/search/?api=1&query=WAJABATT%20FOOD&query_place_id=ChIJQexne5Gf2hERkFXiQVJuXh8,
LA VILLA PAPAYO,3.9,74.0,"G3M9+J5C, Rue KK46",Niamey,,NE,,+227 94 71 71 71,Restaurant,https://www.google.com/maps/search/?api=1&query=LA%20VILLA%20PAPAYO&query_place_id=ChIJOQjDYvF10BERAoncIbkwulc,
O'Takoss,3.9,74.0,Unnamed Road,Niamey,,NE,http://www.otacos.com/,+227 82 44 03 74,Restaurant de tacos,https://www.google.com/maps/search/?api=1&query=O'Takoss&query_place_id=ChIJE_m5r0ef2hERIjS9bRvRkhY,
TWO TWO SEVEN,4.0,72.0,705 Av. de Djermakoye,Niamey,,NE,,+227 88 40 40 50,Restauration rapide,https://www.google.com/maps/search/?api=1&query=TWO%20TWO%20SEVEN&query_place_id=ChIJrdZ13ad10BERCpfzPglG-UE,
Colline Parfumée,3.8,67.0,"G4H4+8GF, Bd du Zarmaganda",Niamey,,NE,,+227 96 29 86 89,Restaurant,https://www.google.com/maps/search/?api=1&query=Colline%20Parfum%C3%A9e&query_place_id=ChIJ-32UNNSf2hERQvWM6FrK554,
Hünkar sofrasi( Restorant),4.2,64.0,H37X+XP9,Niamey,,NE,http://www.hunkarniamey.com/,+227 85 56 00 00,Restaurant turc,https://www.google.com/maps/search/?api=1&query=H%C3%BCnkar%20sofrasi(%20Restorant)&query_place_id=ChIJ02mmDgKf2hERXbk7orgzrDA,
La Grande Gourmandise (La GG),4.4,63.0,"Plateau 1, Blvd Mali Bero",Niamey,,NE,https://laggourmandise.com/,+227 88 89 50 50,Restaurant,https://www.google.com/maps/search/?api=1&query=La%20Grande%20Gourmandise%20(La%20GG)&query_place_id=ChIJLakNguV10BEReStnrfj0jLY,
THE CHICKEN JOINT NIAMEY,3.9,61.0,"Nouveau Marché, CUN 3, Rue De L'algerie NM 40, Pavé Ex OFEDES BOITE 13794 NIAMEY",Niamey,,NE,,+227 90 09 39 39,Restauration rapide,https://www.google.com/maps/search/?api=1&query=THE%20CHICKEN%20JOINT%20NIAMEY&query_place_id=ChIJ_8_MEzx10BERB6oVhEJ-xCs,
French Tacos 1,3.9,61.0,G4M4+FWQ,Niamey,,NE,,+227 90 86 54 86,Restauration rapide,https://www.google.com/maps/search/?api=1&query=French%20Tacos%201&query_place_id=ChIJUw0JXUR10BERH0E6VfDVTwE,
Rams,3.8,60.0,G3CW+P2F,Niamey,,NE,,+227 20 72 39 65,Restaurant,https://www.google.com/maps/search/?api=1&query=Rams&query_place_id=ChIJO-iabJB10BERC7CV8SHrfCo,
Maquis Doré,3.8,60.0,G46C+RP2,Niamey,,NE,,+227 84 10 94 67,Restaurant,https://www.google.com/maps/search/?api=1&query=Maquis%20Dor%C3%A9&query_place_id=ChIJWy-ktjZ10BEREspRFz0kTXU,
Complexe Le Mafé,3.8,56.0,"G49Q+7GQ, Blvd Mali Bero",Niamey,,NE,,+227 98 75 70 73,Restaurant,https://www.google.com/maps/search/?api=1&query=Complexe%20Le%20Maf%C3%A9&query_place_id=ChIJkZbgpGd10BERI0xQQI8672o,
Restaurant DOGONEY,3.3,51.0,G3GW+83R,Niamey,,NE,,+227 96 26 13 68,Restaurant,https://www.google.com/maps/search/?api=1&query=Restaurant%20DOGONEY&query_place_id=ChIJpaTbm4910BERfy7m42GSb_0,
Festival Des Glaces,4.1,50.0,RN1,Niamey,,NE,,+227 91 15 11 55,Restauration rapide,https://www.google.com/maps/search/?api=1&query=Festival%20Des%20Glaces&query_place_id=ChIJZ1nqWYV10BERxcTmSZ9AOeI,
Restaurant sonda sonda,4.2,49.0,Boulevard de l'Independance,Niamey,,NE,,+227 88 18 35 01,Restaurant,https://www.google.com/maps/search/?api=1&query=Restaurant%20sonda%20sonda&query_place_id=ChIJXdoNcXh10BERDJRp_oj-JGA,
Restaurant La Légende Bobiel,4.1,47.0,,Niamey,,NE,,+227 95 46 13 26,Restaurant,https://www.google.com/maps/search/?api=1&query=Restaurant%20La%20L%C3%A9gende%20Bobiel&query_place_id=ChIJZ5Ul7vyd2hERp-SkG3BEW4c,
Chez Binta,3.8,47.0,G4F2+3MW,Niamey,,NE,,+227 90 23 24 24,Restaurant,https://www.google.com/maps/search/?api=1&query=Chez%20Binta&query_place_id=ChIJQR7CsJx10BERxkNxveNoLY8,
Restaurant Azawak,4.0,46.0,binvene a,Niamey,,NE,,,Restaurant,https://www.google.com/maps/search/?api=1&query=Restaurant%20Azawak&query_place_id=ChIJneuUSZkL0BERwur_QisM180,
Attiekédrome,3.8,46.0,G439+76X,Niamey,,NE,,+227 84 36 45 24,Restaurant,https://www.google.com/maps/search/?api=1&query=Attiek%C3%A9drome&query_place_id=ChIJlVpu2zF10BERPpTtttisG3Q,
BOUZAN COMMERCE GÉNÉRALE: RESTAURANT/ POISSONNERIE/ CHARCUTERIES/CRÈMEE GLACÉE,3.9,45.0,Niamey Lossogoungou,Niamey,,NE,,+227 96 40 00 15,Restaurant,https://www.google.com/maps/search/?api=1&query=BOUZAN%20COMMERCE%20G%C3%89N%C3%89RALE%3A%20RESTAURANT%2F%20POISSONNERIE%2F%20CHARCUTERIES%2FCR%C3%88MEE%20GLAC%C3%89E&query_place_id=ChIJd3vEoMWd2hERrI8MW8RRndA,
Restaurant Le Festin Chez Saly,3.8,45.0,G4M4+22P,Niamey,,NE,,+227 98 23 97 59,Restaurant,https://www.google.com/maps/search/?api=1&query=Restaurant%20Le%20Festin%20Chez%20Saly&query_place_id=ChIJXaY5MIB10BERfRM-wVK2_DY,
Zen Espace,4.0,41.0,HXV8+P65,Kanazi,,NE,,+227 90 17 17 17,Restaurant,https://www.google.com/maps/search/?api=1&query=Zen%20Espace&query_place_id=ChIJUUHh2xiD2hER-QAnoKGw9Fg,
Cafe Resto La Bonne Pioche,4.0,41.0,"G4F2+JP8, RN1",Niamey,,NE,,+227 80 69 64 49,Restaurant,https://www.google.com/maps/search/?api=1&query=Cafe%20Resto%20La%20Bonne%20Pioche&query_place_id=ChIJaQqjSIN10BERzLgnTmWpV24,
The Goût Unique,4.4,41.0,G3QV+J6G,Niamey,,NE,,+227 91 76 09 78,Restaurant,https://www.google.com/maps/search/?api=1&query=The%20Go%C3%BBt%20Unique&query_place_id=ChIJt7oisCGf2hERN7kXgIJbLyA,
Carthage Restaurant,3.6,39.0,G3GW+HQW,Niamey,,NE,,+227 90 13 37 76,Restaurant,https://www.google.com/maps/search/?api=1&query=Carthage%20Restaurant&query_place_id=ChIJY9OKnoV10BER3gAp0ybSqyQ,
Restaurant KARASU,3.9,39.0,Bd du Zarmaganda,Niamey,,NE,,+227 96 27 65 65,Restaurant,https://www.google.com/maps/search/?api=1&query=Restaurant%20KARASU&query_place_id=ChIJeR6uG2d10BERrk9DfWG187I,
Le Campement Restaurant Niamey,4.1,37.0,227,Niamey,,NE,,+227 95 95 01 02,Restaurant,https://www.google.com/maps/search/?api=1&query=Le%20Campement%20Restaurant%20Niamey&query_place_id=ChIJtZMaSQGf2hERj7nLTCI34Sk,
Restaurant Marrakech,3.9,37.0,G476+GRR,Niamey,,NE,https://www.facebook.com/delices.marrakech.5,+227 94 27 27 64,Restaurant marocain,https://www.google.com/maps/search/?api=1&query=Restaurant%20Marrakech&query_place_id=ChIJHXiBEnN10BER3gts2CU8OaA,
Complexe Fast & Furious,3.9,37.0,H4R4+JQW,,,NE,,+227 98 45 60 55,Bar,https://www.google.com/maps/search/?api=1&query=Complexe%20Fast%20%26%20Furious&query_place_id=ChIJy_JtH7Wf2hERf5mjHVnflpc,
Miam sandwich et pizza,3.6,35.0,8 Blvd Mali Bero,Niamey,,NE,,+227 99 33 33 21,Restaurant,https://www.google.com/maps/search/?api=1&query=Miam%20sandwich%20et%20pizza&query_place_id=ChIJIzd_Gud10BER82B8j4zYyB0,
GREEN AUBERGE,4.1,35.0,"G3H5+F48, Unnamed Road",Niamey,,NE,,+227 95 18 09 89,Restaurant,https://www.google.com/maps/search/?api=1&query=GREEN%20AUBERGE&query_place_id=ChIJm1GTWKl30BERyDecPZYjKV8,
Burger time,4.7,35.0,Pharmacie city chinoise,Niamey,,NE,,+227 81 20 20 25,Restaurant de cuisine d'Odisha,https://www.google.com/maps/search/?api=1&query=Burger%20time&query_place_id=ChIJ21LbxIN10BERWnWlymxjDxY,
Boulangerie route torrodi,4.1,34.0,"F3RJ+FJX, RN6",Niamey,,NE,,+227 94 94 70 94,Restaurant,https://www.google.com/maps/search/?api=1&query=Boulangerie%20route%20torrodi&query_place_id=ChIJlRWRfPF10BERGwraAvKDQbo,
Le Gondwana,3.8,33.0,,Niamey,,NE,,+227 99 60 61 83,Restaurant,https://www.google.com/maps/search/?api=1&query=Le%20Gondwana&query_place_id=ChIJnakxqOd10BERScslFxxlT80,
Fofo Taco,4.8,32.0,G3MH+X2J,Niamey,,NE,,+227 90 81 13 52,Restaurant mexicain,https://www.google.com/maps/search/?api=1&query=Fofo%20Taco&query_place_id=ChIJ3S7_7oN10BER_hvWCqfj8rA,
Restaurant Les Épices du Sahel,4.0,32.0,Unnamed Road,Niamey,,NE,,+227 87 87 87 88,Restaurant,https://www.google.com/maps/search/?api=1&query=Restaurant%20Les%20%C3%89pices%20du%20Sahel&query_place_id=ChIJiRG1NrWf2hER6RkzS335aQ8,
Nama Lounge,4.5,31.0,"G3W8+4F6, RN1",Niamey,,NE,,+227 83 84 75 75,Restaurant de grillades,https://www.google.com/maps/search/?api=1&query=Nama%20Lounge&query_place_id=ChIJc9uYfMCd2hERiAm6WCwGa_s,
"Restaurant ""Chez IDRISS NEM""",3.9,31.0,125 rue du Plateau,Niamey,,NE,,+227 97 10 45 45,Restaurant,https://www.google.com/maps/search/?api=1&query=Restaurant%20%22Chez%20IDRISS%20NEM%22&query_place_id=ChIJeeAbfjN10BERP3SOiqGFl44,
The BBQ Table,4.1,30.0,"Opp. Ola Station, Blvd Mali Bero",Niamey,,NE,,+227 88 60 15 60,Restaurant,https://www.google.com/maps/search/?api=1&query=The%20BBQ%20Table&query_place_id=ChIJ23uo4i910BERLyvLPm0WQjY,
Univer food,3.3,28.0,H32Q+JWC,Niamey,,NE,,+227 90 76 18 10,Restaurant,https://www.google.com/maps/search/?api=1&query=Univer%20food&query_place_id=ChIJi0anFT-f2hERFoejzNPH6YQ,
M-SANDWICH,3.9,27.0,"G3PR+X7H, Recasement",Niamey,,NE,,+227 88 50 40 40,Restaurant,https://www.google.com/maps/search/?api=1&query=M-SANDWICH&query_place_id=ChIJ2ziTX0Wf2hERYzE9_6mUDtI,
Restaurant Valentine,3.9,26.0,Niamey bobiel Niamey bobiel,Niamey,,NE,,+227 85 50 50 30,Restaurant,https://www.google.com/maps/search/?api=1&query=Restaurant%20Valentine&query_place_id=ChIJAT_b6Q2f2hERlB4Zzp07TxA,
TASTE OF TANDOOR & INDIAN MULTI CUISINE RESTAURANT NIGER,4.0,25.0,,Niamey,,NE,,+227 99 17 30 18,Restaurant indien,https://www.google.com/maps/search/?api=1&query=TASTE%20OF%20TANDOOR%20%26%20INDIAN%20MULTI%20CUISINE%20RESTAURANT%20NIGER&query_place_id=ChIJ2QSavpV10BERpYNGCadZUy4,
Restaurant Arc-en-ciel,3.6,25.0,"G492+9M3, Unnamed Road",Niamey,,NE,,+227 96 47 45 77,Restaurant,https://www.google.com/maps/search/?api=1&query=Restaurant%20Arc-en-ciel&query_place_id=ChIJzzcCKMF10BER9QsH3TLdq1c,
Crown Hôtel,4.1,24.0,G447+2F4,Niamey,,NE,,+227 98 88 98 88,Restaurant,https://www.google.com/maps/search/?api=1&query=Crown%20H%C3%B4tel&query_place_id=ChIJh2WhZQ510BERdrKvlludylM,
Boulangerie pâtisserie ANNOUR,4.2,24.0,"F3RJ+RCF, RN6",Niamey,,NE,,+227 96 94 63 67,Restaurant,https://www.google.com/maps/search/?api=1&query=Boulangerie%20p%C3%A2tisserie%20ANNOUR&query_place_id=ChIJf-P__Th10BERu3arVvBkmcs,
Danny's Grill,4.0,24.0,G3MM+786,Niamey,,NE,,+227 92 02 02 50,Restaurant de grillades,https://www.google.com/maps/search/?api=1&query=Danny's%20Grill&query_place_id=ChIJ5zZ_z8t10BERTz0sGP9QZuc,
Restaurant Le Matignon,3.2,24.0,G3V9+4J7,Niamey,,NE,,,Restaurant africain,https://www.google.com/maps/search/?api=1&query=Restaurant%20Le%20Matignon&query_place_id=ChIJbbdiyh-f2hERa4t2RENjk9s,
CASA D LUCA,4.8,24.0,,Niamey,,NE,,+227 80 80 31 21,Restaurant,https://www.google.com/maps/search/?api=1&query=CASA%20D%20LUCA&query_place_id=ChIJ2a_i6-910BERiWQWtCX1ID0,
Papayo Aereport,4.1,23.0,"F57V+FF7, RN1",Niamey,,NE,,,Restaurant,https://www.google.com/maps/search/?api=1&query=Papayo%20Aereport&query_place_id=ChIJo6bF3A8L0BEROJiuHdaZEJI,
Restaurant Salamou Maï Touwo,3.3,23.0,G46X+36F,Niamey,,NE,,,Restaurant africain,https://www.google.com/maps/search/?api=1&query=Restaurant%20Salamou%20Ma%C3%AF%20Touwo&query_place_id=ChIJ6w07ZsoK0BEReGrWn5UkBAg,
Patisseri bin dawoud,3.7,23.0,F3QX+272,Niamey,,NE,,,Restaurant,https://www.google.com/maps/search/?api=1&query=Patisseri%20bin%20dawoud&query_place_id=ChIJqS1ZC6J10BERN8y3IxidC1k,
Bar Restaurant Des Arènes,3.6,23.0,"arène de lutte, Stade De La Lute Traditionelle",Niamey,,NE,,,Restaurant,https://www.google.com/maps/search/?api=1&query=Bar%20Restaurant%20Des%20Ar%C3%A8nes&query_place_id=ChIJ90Y0Um110BER66sIuLhxpbg,
Terre de Passion,3.6,23.0,"G38R+4R6, Boulevard de la Republique",Niamey,,NE,,,Restaurant,https://www.google.com/maps/search/?api=1&query=Terre%20de%20Passion&query_place_id=ChIJoZ67lTt10BERc7dO2aZEdGc,
Yin-yang Paradise,4.2,22.0,RN4,Niger,,NE,,+227 80 54 19 56,Restaurant,https://www.google.com/maps/search/?api=1&query=Yin-yang%20Paradise&query_place_id=ChIJzXkPxmt30BERHzkjg8PSbag,
Restaurant Sawki,3.4,22.0,"G5PM+CMX, Unnamed Road",Niamey,,NE,,+227 98 98 56 70,Restaurant,https://www.google.com/maps/search/?api=1&query=Restaurant%20Sawki&query_place_id=ChIJoXLBiZah2hERl77Fs3HDCTY,
KLF STREETFOOD,4.5,21.0,Av. de Djermakoye,Niamey,,NE,,+227 88 04 48 48,Restaurant,https://www.google.com/maps/search/?api=1&query=KLF%20STREETFOOD&query_place_id=ChIJ791A6kd10BERdv_9gkUrkk4,
RESTO,3.0,20.0,G32V+3R7,Niamey,,NE,,,Restaurant,https://www.google.com/maps/search/?api=1&query=RESTO&query_place_id=ChIJ_ReqdbB10BER3QwUTngh1zQ,
Two two seven Fenifoot,4.0,20.0,"H37V+Q66, Unnamed Road",Niamey,,NE,,+227 88 72 84 84,Restauration rapide,https://www.google.com/maps/search/?api=1&query=Two%20two%20seven%20Fenifoot&query_place_id=ChIJY-jjutyf2hERzGEKSvHrcYo,
Restaurant Vice versa,4.4,19.0,Maurice delens,Niamey,,NE,,+227 80 10 10 45,Restaurant,https://www.google.com/maps/search/?api=1&query=Restaurant%20Vice%20versa&query_place_id=ChIJQw0jx6h10BERRTfstg25_Vc,
