title,totalScore,reviewsCount,street,city,state,countryCode,website,phone,categoryName,url,Column
Saveurs Mixtes,3.9,19.0,"G3VJ+78X, Unnamed Road",Niamey,,NE,,+227 98 70 70 28,Restaurant de spécialités d'Afrique de l'Ouest,https://www.google.com/maps/search/?api=1&query=Saveurs%20Mixtes&query_place_id=ChIJXRNm8g6f2hERyv0ldz-Idpo,
Le Café des Arts,4.1,17.0,"vers la Pharmacie Sira, Quartier Koubia",Niamey,,NE,,+227 89 32 89 97,Café et restaurant de grillades,https://www.google.com/maps/search/?api=1&query=Le%20Caf%C3%A9%20des%20Arts&query_place_id=ChIJ8Ul6-4af2hERn2b1koLMcG8,
Doukounou Fameye,4.2,17.0,G48W+XV9,Niamey,,NE,,,Restaurant,https://www.google.com/maps/search/?api=1&query=Doukounou%20Fameye&query_place_id=ChIJCf1RHZ4L0BERjEz1Xyrd-W4,
Le SHERIFFIEN,4.5,17.0,G45G+422,Niamey,,NE,,+227 97 35 95 46,Restaurant,https://www.google.com/maps/search/?api=1&query=Le%20SHERIFFIEN&query_place_id=ChIJm-jhjhV10BERvW6WBD3-4F8,
Océan des Saveurs,3.9,16.0,"G44H+J3H, Unnamed Road",Niamey,,NE,,+227 97 79 49 82,Restaurant de spécialités d'Afrique de l'Ouest,https://www.google.com/maps/search/?api=1&query=Oc%C3%A9an%20des%20Saveurs&query_place_id=ChIJRYUv-1910BERXMMtv28fcBE,
Restaurant Mumbaï,4.4,16.0,"cotê Authorité de Regulation de secteur de L'energie, Plateau, cotê clinique d'iran",Niamey,,NE,http://www.restaurantmumbai.net/,+227 97 97 60 33,Restaurant indien,https://www.google.com/maps/search/?api=1&query=Restaurant%20Mumba%C3%AF&query_place_id=ChIJuRwHXiB10BERC8lGLSEIFn4,
Le Palmier,4.3,15.0,"G463+W5R, Boulevard de la Republique",Niamey,,NE,,+227 94 97 97 97,Restaurant,https://www.google.com/maps/search/?api=1&query=Le%20Palmier&query_place_id=ChIJt4sK0hR10BERPCoGJQw6dO0,
Restaurant 1ere Pompe,3.5,15.0,"H34P+JX8, Unnamed Road",Niamey,,NE,,,Restaurant,https://www.google.com/maps/search/?api=1&query=Restaurant%201ere%20Pompe&query_place_id=ChIJqWc0UMCf2hERhoqxY3EWea4,
Optimum Fast Food,3.7,15.0,"Unnamed Road A côté de la pharmacie Zara ,non loin du rond point sonuci",Niamey,,NE,https://www.instagram.com/p/B7btuhEp01L/?igshid=1r5r3wofo2lw,+227 80 70 51 35,Restaurant,https://www.google.com/maps/search/?api=1&query=Optimum%20Fast%20Food&query_place_id=ChIJCdnwmqWf2hER2a_goBKe5FI,
Terrasse mango,4.5,15.0,"G38X+RGV, Boulevard de la Republique",Niamey,,NE,,,Restaurant français,https://www.google.com/maps/search/?api=1&query=Terrasse%20mango&query_place_id=ChIJCy05eJV10BERFJZu7AQ7hy4,
Chez Romoke,2.6,15.0,"G3X5+RQM, RN1",Niamey,,NE,,+227 89 75 25 46,Restaurant,https://www.google.com/maps/search/?api=1&query=Chez%20Romoke&query_place_id=ChIJ55pr_-Sd2hERZGJfmPAaSqw,
Alimentation et maquis chez soum,3.7,15.0,H4W7+5P,,,NE,,,Restaurant,https://www.google.com/maps/search/?api=1&query=Alimentation%20et%20maquis%20chez%20soum&query_place_id=ChIJ7QZTukyf2hERJOZ-mmdkNXw,
Le Gourmet,4.2,15.0,H3QX+FHG,,,NE,,+227 88 01 69 51,Boulangerie,https://www.google.com/maps/search/?api=1&query=Le%20Gourmet&query_place_id=ChIJnR9M26-f2hERZ8XAys1wqVE,
Chez Caro-Restaurant,4.2,14.0,G3GR+47J,Niamey,,NE,,,Restaurant,https://www.google.com/maps/search/?api=1&query=Chez%20Caro-Restaurant&query_place_id=ChIJIXVVk_Z10BERI4mWOh0cvP4,
O'Good Food,3.9,14.0,"G3JJ+8HQ, Blvd Mali Bero",Niamey,,NE,,+227 82 73 73 55,Restaurant,https://www.google.com/maps/search/?api=1&query=O'Good%20Food&query_place_id=ChIJc3gO2JV10BERU3UeGodA_yE,
Restaurant Bab Al Yemen - ???? ??? ?????,4.2,14.0,"H4G4+F38, Quartier Francophonie",Niamey,,NE,,+227 90 67 27 53,Restaurant,https://www.google.com/maps/search/?api=1&query=Restaurant%20Bab%20Al%20Yemen%20-%20%D9%85%D8%B7%D8%B9%D9%85%20%D8%A8%D8%A7%D8%A8%20%D8%A7%D9%84%D9%8A%D9%85%D9%86&query_place_id=ChIJB__GC62f2hERQsigJnPstAA,
Restaurant le Citron Vert,4.3,14.0,227,Niamey,,NE,,+227 80 24 18 61,Restaurant,https://www.google.com/maps/search/?api=1&query=Restaurant%20le%20Citron%20Vert&query_place_id=ChIJmxH0hBmf2hERFBBK1KzIt0o,
MAK FOOD NIGER,3.5,13.0,"G2VV+G8G, Unnamed Road",Niamey,,NE,,+227 96 37 16 90,Restaurant,https://www.google.com/maps/search/?api=1&query=MAK%20FOOD%20NIGER&query_place_id=ChIJb859zmed2hERbQGTAsgVyIU,
Hamza Food and Juice,5.0,13.0,H482+FFH,Niamey,,NE,,+227 88 14 56 52,Restauration rapide,https://www.google.com/maps/search/?api=1&query=Hamza%20Food%20and%20Juice&query_place_id=ChIJrzWASACf2hERaK_GB57I8Zs,
Poulet Anfani,4.8,12.0,G46W+83Q,Niamey,,NE,,+227 96 96 11 06,Restaurant,https://www.google.com/maps/search/?api=1&query=Poulet%20Anfani&query_place_id=ChIJc-VQC14L0BERBR1MzTN31Gw,
Restaurant Mali Bero,3.3,12.0,H423+8HW,Niamey,,NE,,+227 96 03 96 53,Restaurant,https://www.google.com/maps/search/?api=1&query=Restaurant%20Mali%20Bero&query_place_id=ChIJN7v_PNWf2hERFk41RKGFNvY,
Restaurant la Rose,4.2,12.0,Quartier plateau YN-12 porte 110,Niamey,,NE,,+227 80 66 90 99,Restaurant gastronomique,https://www.google.com/maps/search/?api=1&query=Restaurant%20la%20Rose&query_place_id=ChIJEXGl30B10BERd11hnc59t2w,
Cafetaria De L'Hôpital,4.0,12.0,"Boulevard de la Republique,, Boulevard de la Republique Boulevard de la Republique",Niamey,,NE,,,Restaurant,https://www.google.com/maps/search/?api=1&query=Cafetaria%20De%20L'H%C3%B4pital&query_place_id=ChIJj4Y_y5h10BERv84Q0b5Gc1M,
Plaque DUBAI,3.8,12.0,"H4JG+VPQ, Unnamed Road",Niamey,,NE,,+227 94 25 17 79,Café,https://www.google.com/maps/search/?api=1&query=Plaque%20DUBAI&query_place_id=ChIJASxZEpWf2hERix2zveEqZXM,
Maquis Max &Co,4.5,11.0,G459+J6H,Niamey,,NE,,+227 96 96 30 79,Bar-restaurant à huîtres,https://www.google.com/maps/search/?api=1&query=Maquis%20Max%20%26Co&query_place_id=ChIJLR6Wt6d10BERdtdPd-TF2ls,
Restaurant Fortitude Saguia,4.3,11.0,"F475+PF6, RN27",Niamey,,NE,,+227 93 55 20 60,Restaurant gastronomique,https://www.google.com/maps/search/?api=1&query=Restaurant%20Fortitude%20Saguia&query_place_id=ChIJPVGdqeZ10BERL9R4Ftm4IxA,
Rayane Cafétéria,3.7,11.0,"G33H+H27, Unnamed Road",Niamey,,NE,,,Café,https://www.google.com/maps/search/?api=1&query=Rayane%20Caf%C3%A9t%C3%A9ria&query_place_id=ChIJmx8Un1N10BERTBGW67os5eM,
Mechoui Vieux Hassane,4.5,11.0,"chateau 8, Blvd Mali Bero",Niamey,,NE,,+227 94 24 24 83,Restaurant,https://www.google.com/maps/search/?api=1&query=Mechoui%20Vieux%20Hassane&query_place_id=ChIJmXvHrIp10BERpLQPHxOoX-s,
Glacimo centre aéré,4.5,11.0,Boulevard tanimoune Centre aéré BCEAO,Niamey,,NE,,+227 89 98 83 83,Restaurant,https://www.google.com/maps/search/?api=1&query=Glacimo%20centre%20a%C3%A9r%C3%A9&query_place_id=ChIJozQOyYef2hERMK7FkVhWzWI,
BBlack Chez Nasser,4.2,11.0,,Niamey,,NE,,+227 88 21 71 36,Restaurant,https://www.google.com/maps/search/?api=1&query=BBlack%20Chez%20Nasser&query_place_id=ChIJmc_p6_Gf2hERC39KN5FyScY,
AFC Restaurant,4.0,11.0,H37Q+97X,Niamey,,NE,,+227 76 69 16 46,Restaurant,https://www.google.com/maps/search/?api=1&query=AFC%20Restaurant&query_place_id=ChIJ611AdwCf2hER81xfuQZIpy8,
alimentation chez Maiga,4.0,10.0,F59H+49Q,Niamey,,NE,,+227 99 24 09 81,Restaurant,https://www.google.com/maps/search/?api=1&query=alimentation%20chez%20Maiga&query_place_id=ChIJ93TwWUgL0BER6JR8qxFjWzU,
HORIZONT KANAZI,4.8,10.0,12173 Niamey,,,NE,,+227 89 54 35 08,Restaurant,https://www.google.com/maps/search/?api=1&query=HORIZONT%20KANAZI&query_place_id=ChIJpSCqi5-d2hERCnr1uz1V3xs,
Brochettes de viande de Boeuf épicée locale,4.6,10.0,"G4VV+34Q, Unnamed Road",Niamey,,NE,,,Restaurant servant des abats au barbecue,https://www.google.com/maps/search/?api=1&query=Brochettes%20de%20viande%20de%20Boeuf%20%C3%A9pic%C3%A9e%20locale&query_place_id=ChIJx4iYWG2f2hERmPvikopt3Es,
Vente de mechoui,3.5,10.0,H4G5+FQ4,Niamey,,NE,,+227 96 82 07 80,Restaurant de viande grillée (yakiniku),https://www.google.com/maps/search/?api=1&query=Vente%20de%20mechoui&query_place_id=ChIJT7Rh2Oif2hERdQe-JPfSQtU,
Byblos,3.7,10.0,"G493+J6V, N1",Niamey,,NE,,,Restaurant,https://www.google.com/maps/search/?api=1&query=Byblos&query_place_id=ChIJU2GJSZx10BER2lOIALBz49o,
Xpress Fryz,4.5,10.0,"Plaque Noma, Recasement",Niamey,,NE,,+227 96 19 37 88,Restauration rapide,https://www.google.com/maps/search/?api=1&query=Xpress%20Fryz&query_place_id=ChIJg8O4TFuf2hERREb59BJDMgI,
Restaurant A&S Battara,3.1,9.0,F4M7+W8,Niamey,,NE,,+227 89 12 56 06,Restaurant de grillades,https://www.google.com/maps/search/?api=1&query=Restaurant%20A%26S%20Battara&query_place_id=ChIJX8b4lCB10BERtZl64k_BC0U,
Restaurant Grand B,4.6,9.0,G3FR+W82,Niamey,,NE,,,Restaurant,https://www.google.com/maps/search/?api=1&query=Restaurant%20Grand%20B&query_place_id=ChIJw44AER510BERa8jc2DCB0ZY,
LEGEND RESTO LOUNGE,3.9,9.0,G4Q5+4RQ,Niamey,,NE,,,Restaurant,https://www.google.com/maps/search/?api=1&query=LEGEND%20RESTO%20LOUNGE&query_place_id=ChIJX2MJqZmf2hERCq3El9czNuM,
Restaurant chez Chayi,3.9,9.0,G3RV+6G7,Niamey,,NE,,,Restaurant,https://www.google.com/maps/search/?api=1&query=Restaurant%20chez%20Chayi&query_place_id=ChIJh-TuMUSf2hERdsBI4OHZEeY,
Meat on charcoal Shop,4.9,9.0,"G3G5+FWJ, Unnamed Road",Niamey,,NE,,,Restaurant,https://www.google.com/maps/search/?api=1&query=Meat%20on%20charcoal%20Shop&query_place_id=ChIJXR8bgK130BERVT8_ZCMhn5o,
LA CASA CAFE,3.8,9.0,H496+54C,Niamey,,NE,,+227 85 46 36 06,Café,https://www.google.com/maps/search/?api=1&query=LA%20CASA%20CAFE&query_place_id=ChIJQTdBCySf2hERzu-uk6rGtQY,
Restaurant le mafé,3.6,8.0,F58Q+W2R,Niamey,,NE,,,Restaurant thaï,https://www.google.com/maps/search/?api=1&query=Restaurant%20le%20maf%C3%A9&query_place_id=ChIJLbyGDq4L0BER-6yyTY0Gs5M,
Chez Aris Fast Food 2 Amir Sultan,3.9,8.0,F4VR+M3C,Niamey,,NE,,,Restauration rapide,https://www.google.com/maps/search/?api=1&query=Chez%20Aris%20Fast%20Food%202%20Amir%20Sultan&query_place_id=ChIJC1XhJgF10BERZbji71V8oAc,
Restaurant Issaka Kaïné UAM,4.4,8.0,"G32W+68Q, Unnamed Road",Niamey,,NE,,+227 89 82 00 02,Restaurant,https://www.google.com/maps/search/?api=1&query=Restaurant%20Issaka%20Ka%C3%AFn%C3%A9%20UAM&query_place_id=ChIJBSBv_Rl10BERldoj48cj_tY,
Africa Hall,4.6,8.0,G46G+J5R,Niamey,,NE,,+227 99 88 00 50,Restaurant,https://www.google.com/maps/search/?api=1&query=Africa%20Hall&query_place_id=ChIJVVVVVRV10BERKcBiPs5gF48,
attiéké-thon-fumé APF Chez Samychou,3.4,8.0,10349 Niamey,Niamey,,NE,,+227 88 14 98 22,Restaurant halal,https://www.google.com/maps/search/?api=1&query=atti%C3%A9k%C3%A9-thon-fum%C3%A9%20APF%20Chez%20Samychou&query_place_id=ChIJV6Shcxx10BERHx8bck9PQ8w,
CONCRETUM,4.4,8.0,G3PG+XV6,Niamey,,NE,,+227 92 14 89 74,Restaurant,https://www.google.com/maps/search/?api=1&query=CONCRETUM&query_place_id=ChIJFXYYAHCf2hERtCs6-3E1Ing,
Hotel Royal Continental Face Restaurant Cafe,4.6,8.0,"G3MR+473, Unnamed Road",Niamey,,NE,,,Restaurant,https://www.google.com/maps/search/?api=1&query=Hotel%20Royal%20Continental%20Face%20Restaurant%20Cafe&query_place_id=ChIJYxZnw8J10BERdu11H-1q3iI,
Laysa,3.5,8.0,,Niamey,,NE,https://laysa.wegic.app/,+227 76 95 75 79,Restaurant,https://www.google.com/maps/search/?api=1&query=Laysa&query_place_id=ChIJQWRWOhOf2hERxZc5zuv0JhY,
AFRICA JAM,3.9,8.0,G3R8+5WC,Niamey,,NE,,,Restaurant,https://www.google.com/maps/search/?api=1&query=AFRICA%20JAM&query_place_id=ChIJUS-PKpqf2hERXgclnhmn6EY,
GOOD FOOD chez GADO,3.6,8.0,G3QW+72W,Niamey,,NE,,+227 90 85 64 93,Restaurant africain,https://www.google.com/maps/search/?api=1&query=GOOD%20FOOD%20chez%20GADO&query_place_id=ChIJwfwzFZCf2hERwEBBP_xA27A,
African Food,4.3,8.0,G4H2+VRX,Niamey,,NE,,+227 88 11 93 98,Restaurant,https://www.google.com/maps/search/?api=1&query=African%20Food&query_place_id=ChIJjZINj3510BERLmjWgDsPId4,
Burgerillo,3.6,8.0,H32G+8W8,Niamey,,NE,,+227 88 80 04 00,Restaurant de hamburgers,https://www.google.com/maps/search/?api=1&query=Burgerillo&query_place_id=ChIJqX0rdTOf2hER3O_DntJ4-CE,
Nouhou Merguez,3.7,7.0,"G43M+HHX, Bd de l'Indépendance",Niamey,,NE,,+227 88 83 03 79,Restaurant,https://www.google.com/maps/search/?api=1&query=Nouhou%20Merguez&query_place_id=ChIJ_T6Eo4l10BERCDZWIu-B4fw,
O’Takoss,4.7,7.0,G45H+FW9,Niamey,,NE,,,Restauration rapide,https://www.google.com/maps/search/?api=1&query=O%E2%80%99Takoss&query_place_id=ChIJtQqGxlR10BERg-vTslj3H48,
Divine restaurant,4.7,7.0,"G3PX+427, Orange MB",Niamey,,NE,,+227 92 12 30 16,Restaurant,https://www.google.com/maps/search/?api=1&query=Divine%20restaurant&query_place_id=ChIJn2km8LOf2hERtQ5c7xj6dpg,
AKAL,4.9,7.0,,90280819,,NE,,+227 91 57 23 25,Kebab,https://www.google.com/maps/search/?api=1&query=AKAL&query_place_id=ChIJrXsCceWf2hERidc35qk4KD4,
O’hano Délices,4.3,7.0,"H33H+746, Boulevard Tanimoune",Niamey,,NE,,+227 89 98 24 24,Restaurant,https://www.google.com/maps/search/?api=1&query=O%E2%80%99hano%20D%C3%A9lices&query_place_id=ChIJq1GvXMef2hERK2IRWS-Tzp8,
Classic Cafétéria,4.6,7.0,"H35J+7FW, Unnamed Road",Niamey,,NE,http://www.facebook.com/classiccafeteria,+227 99 05 30 80,Restaurant de spécialités d'Afrique de l'Ouest,https://www.google.com/maps/search/?api=1&query=Classic%20Caf%C3%A9t%C3%A9ria&query_place_id=ChIJi14h9g6f2hERuxn7_tXrqQk,
Restaurant la Gourmandise,4.0,7.0,"G5HG+3F9, RN25",Niamey,,NE,,,Restaurant,https://www.google.com/maps/search/?api=1&query=Restaurant%20la%20Gourmandise&query_place_id=ChIJyeZzsAYL0BER17a9mCdFW-8,
Papayo plateau,4.6,7.0,227,Niamey,,NE,,+227 94 71 71 71,Restaurant,https://www.google.com/maps/search/?api=1&query=Papayo%20plateau&query_place_id=ChIJ-Wb6q7h10BERD66ILj71hdw,
Waddan Donair,4.0,7.0,H32F+7X,Niamey,,NE,,+227 80 83 44 17,Pizzeria,https://www.google.com/maps/search/?api=1&query=Waddan%20Donair&query_place_id=ChIJ5dMGn7af2hERtA0Rp9Y0QcY,
Restaurant Koubeyni,4.0,7.0,"Quartier Plateau, Bravia Hotel Niamey, Cases Allemandes",Niamey,,NE,https://www.braviahotels.com/hotels/Bravia%20Hotel%20Niamey,+227 88 14 75 72,Restaurant,https://www.google.com/maps/search/?api=1&query=Restaurant%20Koubeyni&query_place_id=ChIJFwVIfHh10BER3X0hIrjXejo,
Barbecue BBQ,4.4,7.0,H38X+4JP,Niamey,,NE,,+227 90 80 80 80,Restaurant libanais,https://www.google.com/maps/search/?api=1&query=Barbecue%20BBQ&query_place_id=ChIJU4dUcwCf2hERDlxgwOqND_o,
Restaurant Choukran,3.9,7.0,"G48R+VP6, Rue de la Femme",Niamey,,NE,,+227 97 23 96 12,Restaurant,https://www.google.com/maps/search/?api=1&query=Restaurant%20Choukran&query_place_id=ChIJsQAU_-R10BERQ-SjAM6HCLU,
CiTY FOOD,3.7,7.0,G48H+RCG,Niamey,,NE,,+227 92 50 00 00,Restauration rapide,https://www.google.com/maps/search/?api=1&query=CiTY%20FOOD&query_place_id=ChIJu86JKm110BERulXazQe4cg0,
Maquis du centre chez madame PAUL,4.0,7.0,"G457+6P4, RN6",Niamey,,NE,,+227 90 06 99 56,Restaurant,https://www.google.com/maps/search/?api=1&query=Maquis%20du%20centre%20chez%20madame%20PAUL&query_place_id=ChIJ3zmj0nR10BERchjFi5dSq_k,
Sandwich Express,4.4,7.0,Avenue Charle de Gaule,Niamey,,NE,,+227 88 45 22 55,Sandwicherie,https://www.google.com/maps/search/?api=1&query=Sandwich%20Express&query_place_id=ChIJo-CrLAB10BERZ5vBnpv4uxs,
FOODY'Z,3.9,7.0,G4H4+7GJ,Niamey,,NE,,+227 88 32 75 74,Restaurant,https://www.google.com/maps/search/?api=1&query=FOODY'Z&query_place_id=ChIJp0Qyjm510BERONzo2M0uSoI,
The private corner,4.4,7.0,Francophonie,Niamey,,NE,,+227 96 96 18 69,Café et restaurant de grillades,https://www.google.com/maps/search/?api=1&query=The%20private%20corner&query_place_id=ChIJn4p0i62f2hERxj1kLogHeAA,
BAR CHARI,3.6,7.0,RUE DE BURKINA FASO,Niamey,,NE,,+227 99 08 02 02,Restaurant,https://www.google.com/maps/search/?api=1&query=BAR%20CHARI&query_place_id=ChIJ2_apMw910BERwbIRGmE2rk8,
Barney's Cock N' Ball Fun Center,3.7,7.0,,Niamey,,NE,,,Restaurant,https://www.google.com/maps/search/?api=1&query=Barney's%20Cock%20N'%20Ball%20Fun%20Center&query_place_id=ChIJ34YpViCf2hERUpCa8HAoKIQ,
Kani Food Chap,4.4,7.0,"H489+H82, Unnamed Road",Niamey,,NE,,+227 80 22 37 47,Restaurant,https://www.google.com/maps/search/?api=1&query=Kani%20Food%20Chap&query_place_id=ChIJCacm2c-f2hER0gmgIgn2eDo,
Ismo,4.9,7.0,H49G+F5,Niamey,,NE,,+227 98 24 84 78,Café,https://www.google.com/maps/search/?api=1&query=Ismo&query_place_id=ChIJm_GMpi6f2hERBleBC7Whdlo,
MDD,3.7,6.0,"G57P+H76, Unnamed Road",Niamey,,NE,,,Restaurant,https://www.google.com/maps/search/?api=1&query=MDD&query_place_id=ChIJp1P1fCQL0BER0PTmp2NTSGQ,
Restaurant RAMZY,4.7,6.0,F3X3+HQ2,,,NE,,+227 96 07 99 96,Restaurant,https://www.google.com/maps/search/?api=1&query=Restaurant%20RAMZY&query_place_id=ChIJe6uwd5B30BERgn0hSQQUFC4,
Chez Doudou,3.8,6.0,F5R7+24,Niamey,,NE,,+227 90 89 07 09,Restaurant,https://www.google.com/maps/search/?api=1&query=Chez%20Doudou&query_place_id=ChIJ47MbGNkL0BERQRFREKo97hQ,
Halal House Restaurant,4.8,6.0,G3J7+RX8,Niamey,,NE,,+227 88 88 86 66,Restaurant,https://www.google.com/maps/search/?api=1&query=Halal%20House%20Restaurant&query_place_id=ChIJsb5qNAB30BER3qfSxpTV4s4,
Centre Culturel et socioéducatif Forge-Arts,4.3,6.0,BP 451,,,NE,,+227 91 35 33 39,Café des arts,https://www.google.com/maps/search/?api=1&query=Centre%20Culturel%20et%20socio%C3%A9ducatif%20Forge-Arts&query_place_id=ChIJb_6nlj510BER2Tfh5171hKo,
Resto Bakso Bandung Barkah du Niger,4.7,6.0,H332+QQQ Koubia,Niamey,,NE,,+227 95 12 64 10,Restaurant indonésien,https://www.google.com/maps/search/?api=1&query=Resto%20Bakso%20Bandung%20Barkah%20du%20Niger&query_place_id=ChIJMbYZgB2d2hERQeC0eALMogI,
ABDI Farm,5.0,6.0,Face école Barkalleyzé,Niamey,,NE,,+227 83 34 44 38,Magasin vendant du poulet,https://www.google.com/maps/search/?api=1&query=ABDI%20Farm&query_place_id=ChIJWZfWxcuf2hEReL9gxzvWZ1w,
Be In Mind,4.5,6.0,G492+MC9 Av. Charles de Gaulle,Niamey,,NE,,+227 96 19 27 06,Restaurant,https://www.google.com/maps/search/?api=1&query=Be%20In%20Mind&query_place_id=ChIJsyFb65af2hERVo3o0F-pBzk,
Yemenite restaurant,4.5,6.0,"G4M3+GQG, Blvd Mali Bero",Niamey,,NE,,,Restaurant,https://www.google.com/maps/search/?api=1&query=Yemenite%20restaurant&query_place_id=ChIJ5w8gPAB10BERcmB9gHqXreE,
MY FAST FOOD,4.2,6.0,"G4PR+55R, Unnamed Road",Niamey,,NE,,+227 90 90 70 08,Restauration rapide,https://www.google.com/maps/search/?api=1&query=MY%20FAST%20FOOD&query_place_id=ChIJr6TtBVOf2hERwPqm0XpUBPg,
RESTAURANT OASIS by CGK,4.6,5.0,CI-47,Niamey,,NE,,+227 74 74 12 12,Restaurant,https://www.google.com/maps/search/?api=1&query=RESTAURANT%20OASIS%20by%20CGK&query_place_id=ChIJoSuDPb510BERlg86QFvHS3s,
Mme Conte Aminatou,4.8,5.0,F4VM+8R2,Niamey,,NE,,+227 96 96 70 17,Restaurant,https://www.google.com/maps/search/?api=1&query=Mme%20Conte%20Aminatou&query_place_id=ChIJjeGQ8UN10BERHrL46RJQXP4,
Vendeuse de frites,4.8,5.0,RN6,Niamey,,NE,,,Restaurant,https://www.google.com/maps/search/?api=1&query=Vendeuse%20de%20frites&query_place_id=ChIJa5DEy1110BERyZ-r4RsVQTk,
Restaurant Le Silmande,4.6,5.0,19601,Niamey,,NE,,+227 99 38 27 27,Restaurant,https://www.google.com/maps/search/?api=1&query=Restaurant%20Le%20Silmande&query_place_id=ChIJo23RcpKf2hERW82iHzfdCBE,
Bingo Restaurant,5.0,5.0,G45C+Q95,Niamey,,NE,https://www.varolsarlu.com/,+227 70 00 37 37,Restaurant,https://www.google.com/maps/search/?api=1&query=Bingo%20Restaurant&query_place_id=ChIJ237fXc110BERrBtt37yyjpY,
Baouch,4.4,5.0,H357+X35,Niamey,,NE,,,Restaurant,https://www.google.com/maps/search/?api=1&query=Baouch&query_place_id=ChIJ0Rsyrgid2hERNa3zmu56604,
Fly Lounge&Grill,4.6,5.0,G4H4+7GR,Niamey,,NE,,+227 88 80 80 80,Restaurant,https://www.google.com/maps/search/?api=1&query=Fly%20Lounge%26Grill&query_place_id=ChIJ8cc-Old10BERPCYDFPg__KA,
Restaurant Du jardin a l'assiete,3.4,5.0,Boulevard Banizoumbou 2,Niamey,,NE,,,Restaurant,https://www.google.com/maps/search/?api=1&query=Restaurant%20Du%20jardin%20a%20l'assiete&query_place_id=ChIJz1XvJ6Cf2hERUFGiuc5D4eM,
